ticker,passed,score,base_duration_weeks,base_range_pct,vol_ratio_4w,rs_trend,sma30w_slope_pct,price_vs_base_high_pct,current_price,c1_base_downtrend,c2_moving_avg,c3_volume,c4_rel_strength,c5_proximity,c6_no_overhead,up_high_vol_weeks,overhead_count,rs_at_52w_high,current_stage,current_stage_name,weeks_in_stage,stage2_emerged,weeks_since_emergence,rvol_at_emergence,mansfield_rp,market_cap,avg_daily_vol,avg_daily_dollar_vol
AMD,False,0,0,,,,,,473.25,False,False,False,False,False,False,0,0,False,2,Stage 2 (advance),21,False,,,44.09,772568813626.5,20545780.0,9723290385.0
ABBV,False,50,35,34.29,0.88,rising,23.48,-0.94,264.96,False,False,False,True,True,True,0,0,False,2,Stage 2 (advance),6,False,,,7.89,468215380733.7208,4639500.0,1229281920.0
ADBE,False,0,0,,,,,,275.3,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),3,False,,,-13.34,109431745147.70508,4256840.0,1171908052.0
ABT,False,0,0,,,,,,116.64,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),5,False,,,-4.81,201831906589.29785,7109840.0,829291737.6
AES,False,15,29,23.43,0.7,flat,12.62,-14.27,14.77,False,True,False,False,False,False,0,29,False,2,Stage 2 (advance),21,False,,,-4.67,10537488891.686287,5965150.0,88105265.5
MMM,False,35,45,30.2,0.91,rising,5.94,-3.21,178.96,False,True,False,True,True,True,1,0,False,2,Stage 2 (advance),1,True,0.0,0.86,2.02,92293687208.81181,2731090.0,488755866.40000004
ACN,False,0,0,,,,,,185.28,False,False,False,False,False,False,0,0,False,1,Stage 1 (base),1,False,,,-20.85,113380633208.52036,5388740.0,998425747.2
AFL,False,35,36,20.64,0.9,rising,20.79,-10.42,116.07,False,False,False,False,False,True,0,0,False,2,Stage 2 (advance),21,False,,,-5.94,58190916445.86217,2072800.0,240589896.0
AOS,False,0,25,26.06,1.13,rising,-17.34,-18.58,63.08,True,False,False,False,False,False,1,12,False,4,Stage 4 (decline),18,False,,,-13.32,8573113033.69603,1170320.0,73823785.6
A,False,15,20,33.23,0.86,rising,-4.02,5.83,159.0,True,False,False,True,True,True,1,0,False,1,Stage 1 (base),11,False,,,9.63,44906679096.0,1645300.0,261602700.0
ABNB,False,80,69,34.45,1.26,rising,37.43,19.68,187.3,True,False,True,True,True,True,3,0,True,2,Stage 2 (advance),18,False,,,26.78,110429400037.87271,6757390.0,1265659147.0
APD,False,45,66,33.54,0.81,rising,29.44,-3.1,305.1,True,False,False,False,True,True,0,0,False,2,Stage 2 (advance),17,False,,,0.44,67941356562.16461,826780.0,252250578.00000003
ALB,False,0,0,,,,,,143.25,False,False,False,False,False,False,0,0,False,4,Stage 4 (decline),1,False,,,-7.71,16904224415.25,1932700.0,276859275.0
AKAM,False,0,0,,,,,,110.42,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,-1.19,15869187702.62703,3724710.0,411282478.2
ALGN,False,0,0,,,,,,162.55,False,False,False,False,False,False,0,0,False,3,Stage 3 (top),1,False,,,-9.25,11547528159.396423,765020.0,124354001.00000001
