ticker,current_stage_name,weeks_since_emergence,rvol_at_emergence,mansfield_rp,vol_ratio_4w,market_cap,avg_daily_vol,current_price,is_new
ALHC,Stage 2 (advance),2.0,2.66,10.77,,4509898459.152773,7362280.0,21.83,False
AAL,Stage 2 (advance),2.0,2.27,13.34,,10850023626.622133,138255770.0,16.41,False
ASH,Stage 2 (advance),2.0,2.16,11.91,1.08,3109905730.0000763,1188110.0,67.71,False
NTAP,Stage 2 (advance),3.0,1.91,26.38,,31110123892.94963,3196020.0,158.63,False
BRC,Stage 2 (advance),1.0,1.86,-2.09,,4064891463.68927,673940.0,86.19,False
TNL,Stage 2 (advance),3.0,1.72,3.51,1.05,4677469977.020454,905830.0,74.93,False
UTL,Stage 2 (advance),3.0,1.7,-5.13,0.94,927966064.3221588,131870.0,51.58,False
GKOS,Stage 2 (advance),3.0,1.66,10.99,,7635408430.0,992010.0,129.55,False
MATW,Stage 2 (advance),2.0,1.57,-5.23,1.1,816255773.3188858,331780.0,26.16,False
ITT,Stage 2 (advance),1.0,1.55,-1.79,0.95,17867792902.735107,1046500.0,199.0,False
CRSR,Stage 2 (advance),1.0,1.5,12.98,,979041036.4510689,2497920.0,9.15,False
TTC,Stage 2 (advance),2.0,1.49,0.77,,8800161585.68097,1171550.0,92.38,False
USFD,Stage 2 (advance),2.0,1.42,1.85,0.99,20524657667.13684,3406430.0,93.18,False
ALGT,Stage 2 (advance),2.0,1.4,22.09,,2756556334.3811035,609810.0,103.0,False
AVNT,Stage 2 (advance),2.0,1.39,-1.0,0.91,3428126140.4170265,981800.0,37.31,False
EG,Stage 2 (advance),1.0,1.37,-6.25,1.06,13410024678.980713,523700.0,343.4,False
INVA,Stage 2 (advance),3.0,1.37,-1.78,,1665125338.0218754,781210.0,22.54,False
L,Stage 2 (advance),3.0,1.36,-4.31,0.92,22290942388.86406,906440.0,108.76,False
TILE,Stage 2 (advance),3.0,1.33,7.0,,1905404203.7226562,651910.0,32.82,False
BYD,Stage 2 (advance),2.0,1.33,-5.73,0.92,6432903214.917419,1161650.0,86.64,False
EQR,Stage 2 (advance),3.0,1.31,-6.38,1.0,24331932155.81543,3406050.0,64.27,False
CAH,Stage 2 (advance),2.0,1.31,7.19,,52381310214.12918,2703900.0,224.88,False
ITW,Stage 2 (advance),1.0,1.31,-6.9,0.86,76296603607.17773,1525930.0,265.0,False
CDNS,Stage 2 (advance),1.0,1.3,5.78,,105739578573.24219,2694720.0,384.25,False
LECO,Stage 2 (advance),1.0,1.29,-0.54,0.85,14960579427.440186,413540.0,272.97,False
HRMY,Stage 2 (advance),2.0,1.29,-8.7,,1926089357.021164,826960.0,33.19,False
FUL,Stage 2 (advance),2.0,1.28,-3.13,,3514975452.3374176,717960.0,64.23,False
UDR,Stage 2 (advance),2.0,1.26,-6.79,1.08,12221702832.955135,4458660.0,37.38,False
JBLU,Stage 2 (advance),2.0,1.25,5.9,,2114927391.1029081,27837200.0,5.71,False
EXTR,Stage 2 (advance),3.0,1.25,50.13,,4132587630.6878815,2253770.0,31.78,False
PCAR,Stage 2 (advance),3.0,1.24,0.88,,63080667729.15962,3589440.0,120.81,False
CPT,Stage 2 (advance),2.0,1.24,-5.88,0.9,10839520235.9599,1547610.0,109.07,False
PTCT,Stage 2 (advance),2.0,1.23,10.22,1.15,6723873135.766968,2432450.0,81.16,False
WSM,Stage 2 (advance),1.0,1.22,6.84,0.76,26836807363.519516,1393960.0,226.81,False
